,Age,Customer-Period,MaximumSpend,Hidden-Score,Monthly-Average-Spend,Level,Mortgage,Security-Asset,Fixed-Deposit-Account,Internet-Banking,Credit-Card,Region,MaximumSpend_Log,Monthly-Average-Spend_Log,Mortgage_Log
2784,36,9,115,4,2.2,2,0,0,0,0,0,1,4.90527477843843,0.9932517730102834,2.995732273553991
1028,29,4,110,4,2.5,3,0,0,0,0,0,2,4.867534450455582,1.0986122886681098,2.995732273553991
253,47,21,138,1,0.0,1,0,0,0,0,0,4,5.062595033026967,-0.6931471805599453,2.995732273553991
2793,57,33,122,2,6.0,1,153,1,1,1,1,4,4.955827057601261,1.8718021769015913,5.153291594497779
324,56,30,158,4,6.1,1,0,0,0,0,0,0,5.181783550292085,1.8870696490323797,2.995732273553991
772,54,28,165,1,4.1,3,0,0,1,1,1,2,5.220355825078324,1.5260563034950492,2.995732273553991
1998,56,32,103,3,4.0,3,0,0,0,0,0,4,4.812184355372417,1.5040773967762742,2.995732273553991
4422,57,31,164,2,3.8,3,422,0,1,1,1,4,5.214935757608986,1.4586150226995167,6.091309882077698
1192,45,20,138,1,7.0,1,0,0,0,0,1,2,5.062595033026967,2.0149030205422647,2.995732273553991
2721,58,33,173,2,7.2,3,0,0,0,1,0,2,5.262690188904886,2.0412203288596382,2.995732273553991
4763,51,25,173,1,0.5,2,0,0,0,1,0,5,5.262690188904886,0.0,2.995732273553991
2144,33,6,168,3,5.67,2,0,1,1,1,0,4,5.236441962829949,1.8196988379172965,2.995732273553991
4690,59,34,19,1,0.3,3,0,0,0,1,0,2,3.6635616461296463,-0.2231435513142097,2.995732273553991
16,38,14,130,4,4.7,3,134,0,0,0,0,5,5.0106352940962555,1.6486586255873816,5.0369526024136295
3988,59,35,85,1,3.4,3,0,0,1,0,1,1,4.653960350157523,1.3609765531356006,2.995732273553991
2218,38,13,9,2,0.3,2,0,0,0,0,0,2,3.367295829986474,-0.2231435513142097,2.995732273553991
1679,57,31,114,4,5.2,1,0,1,1,1,0,4,4.897839799950911,1.7404661748405046,2.995732273553991
2363,39,13,61,2,2.4,2,90,0,0,1,0,0,4.394449154672439,1.0647107369924282,4.700480365792417
1697,64,38,32,3,0.7,2,0,0,0,1,1,0,3.9512437185814275,0.1823215567939546,2.995732273553991
1258,34,8,31,1,0.3,1,104,0,0,1,1,1,3.9318256327243257,-0.2231435513142097,4.820281565605037
570,49,25,161,3,6.5,2,485,1,1,0,0,4,5.198497031265826,1.9459101490553132,6.22455842927536
3217,65,39,94,4,4.1,1,120,0,1,1,1,3,4.736198448394496,1.5260563034950492,4.941642422609304
741,61,37,22,1,1.2,3,0,0,0,1,0,4,3.7376696182833684,0.5306282510621704,2.995732273553991
787,45,15,202,3,10.0,3,0,0,0,0,0,1,5.402677381872279,2.3513752571634776,2.995732273553991
3069,47,20,68,1,2.67,2,0,0,0,1,1,1,4.477336814478207,1.1537315878891892,2.995732273553991
287,37,12,62,3,0.7,2,0,0,0,0,1,2,4.406719247264253,0.1823215567939546,2.995732273553991
2019,43,17,44,1,0.2,1,0,1,1,1,0,4,4.1588830833596715,-0.35667494393873245,2.995732273553991
1919,38,13,19,2,1.4,2,120,0,0,0,1,2,3.6635616461296463,0.6418538861723947,4.941642422609304
4413,29,2,31,4,1.5,2,0,0,0,0,1,1,3.9318256327243257,0.6931471805599453,2.995732273553991
2996,42,18,103,1,3.33,1,0,1,1,1,1,1,4.812184355372417,1.3428648031925547,2.995732273553991
4622,47,20,13,3,0.67,2,0,0,0,1,0,4,3.4965075614664802,0.1570037488096647,2.995732273553991
1696,45,21,140,2,7.6,1,132,0,0,0,0,1,5.075173815233827,2.0918640616783932,5.0238805208462765
3094,50,23,19,1,0.5,2,104,0,0,0,1,0,3.6635616461296463,0.0,4.820281565605037
3942,42,17,89,1,0.1,2,170,0,0,1,0,0,4.6913478822291435,-0.5108256237659907,5.247024072160486
482,56,32,173,1,4.6,2,88,0,1,1,0,4,5.262690188904886,1.62924053973028,4.68213122712422
2451,51,25,119,1,4.9,1,208,0,0,1,1,3,4.9344739331306915,1.6863989535702288,5.429345628954441
3403,54,29,82,3,3.7,2,0,0,0,1,0,4,4.624972813284271,1.4350845252893227,2.995732273553991
4854,44,20,105,1,4.7,1,0,0,0,0,1,1,4.8283137373023015,1.6486586255873816,2.995732273553991
4310,65,41,170,4,6.1,2,0,0,1,1,1,4,5.247024072160486,1.8870696490323797,2.995732273553991
2046,43,16,161,3,8.0,2,0,0,1,1,1,5,5.198497031265826,2.1400661634962708,2.995732273553991
4702,35,5,108,2,2.75,3,0,1,0,0,0,0,4.852030263919617,1.1786549963416462,2.995732273553991
802,36,12,51,3,2.0,1,214,0,0,1,0,2,4.2626798770413155,0.9162907318741551,5.455321115357702
2106,62,38,132,1,2.9,1,0,0,0,0,0,0,5.0238805208462765,1.2237754316221157,2.995732273553991
4149,41,15,53,1,0.7,3,0,0,0,1,0,3,4.290459441148391,0.1823215567939546,2.995732273553991
4526,36,9,40,2,1.67,2,129,1,0,1,0,2,4.0943445622221,0.7747271675523681,5.003946305945459
4846,35,10,135,3,4.8,2,0,0,0,1,0,4,5.043425116919247,1.667706820558076,2.995732273553991
1064,41,17,138,3,6.9,2,0,0,0,1,0,5,5.062595033026967,2.0014800002101243,2.995732273553991
2805,37,12,182,3,5.8,3,0,0,0,1,0,4,5.308267697401205,1.840549633397487,2.995732273553991
888,57,33,182,2,3.3,3,372,0,0,0,0,4,5.308267697401205,1.33500106673234,5.971261839790462
4788,36,10,39,1,2.0,1,153,0,0,0,0,2,4.07753744390572,0.9162907318741551,5.153291594497779
4418,59,34,145,4,1.8,1,198,0,0,1,0,5,5.10594547390058,0.8329091229351039,5.384495062789089
3467,63,37,149,2,0.2,3,364,0,0,1,0,0,5.1298987149230735,-0.35667494393873245,5.950642552587727
254,65,41,134,3,3.9,3,121,0,0,1,0,1,5.0369526024136295,1.4816045409242156,4.948759890378168
644,52,27,33,2,2.0,2,0,0,0,1,0,2,3.970291913552122,0.9162907318741551,2.995732273553991
2593,48,23,161,4,7.9,3,310,0,0,0,0,6,5.198497031265826,2.128231705849268,5.799092654460526
1328,60,36,145,4,6.9,1,380,0,0,0,1,5,5.10594547390058,2.0014800002101243,5.991464547107982
975,63,38,83,2,3.4,1,0,0,0,0,0,2,4.634728988229636,1.3609765531356006,2.995732273553991
3347,65,41,78,3,2.0,3,0,0,1,1,1,2,4.584967478670572,0.9162907318741551,2.995732273553991
726,58,33,53,4,2.1,1,0,0,0,1,0,1,4.290459441148391,0.9555114450274363,2.995732273553991
